graph_name,vertices,edges,edge_density,degree_variance,clustering_coefficient,k,bronKerbosch_time,bronKerbosch_max_found,bronKerbosch_success,branch_and_bound_time,branch_and_bound_max_found,branch_and_bound_success,genetic_alg_time,genetic_alg_max_found,genetic_alg_success,simulated_annealing_time,simulated_annealing_max_found,simulated_annealing_success
v200/80,200,1200,0.06030150753768844,11.22,0.00020328917313841937,4,0.0015370845794677734,4,1.0,0.026882171630859375,4,1.0,0.318485426902771,4,1.0,0.895639181137085,4,1.0
v200/81,200,386,0.019396984924623117,5.34040000000001,9.136592051164915e-06,3,0.0004930496215820312,3,1.0,0.006067037582397461,3,1.0,0.20514132976531982,3,1.0,0.05965871810913086,3,1.0
v200/82,200,2059,0.10346733668341708,16.531899999999997,0.001044617024516522,4,0.0032989978790283203,4,1.0,0.052719831466674805,4,1.0,0.20843169689178467,4,1.0,0.15081439018249512,4,1.0
v200/83,200,722,0.03628140703517588,8.871599999999997,4.948987361047662e-05,3,0.0009019374847412109,3,1.0,0.015038013458251953,3,1.0,0.15294950008392333,3,1.0,0.009045171737670898,3,1.0
v200/84,200,4007,0.201356783919598,33.99510000000001,0.008213034871326328,6,0.01605510711669922,6,1.0,0.13103294372558594,6,1.0,0.3228466510772705,6,0.8,2.595644998550415,6,1.0
v200/85,200,2126,0.10683417085427135,20.462399999999974,0.001256281407035176,5,0.0036458969116210938,5,1.0,0.04579305648803711,5,1.0,0.3171649694442749,5,1.0,2.246371865272522,5,1.0
v200/86,200,19552,0.9825125628140704,4.329599999999981,0.9484444952032892,101,600.0,0,0.0,600.0,0,0.0,1.027669858932495,101,0.9,12.997801232337952,101,1.0
v200/87,200,1196,0.06010050251256281,11.768400000000002,0.0002223237399116796,4,0.0016529560089111328,4,1.0,0.02294182777404785,4,1.0,0.28383004665374756,4,1.0,0.9199704647064209,4,1.0
v200/88,200,11602,0.5830150753768845,48.91959999999999,0.19823435358611238,13,13.292011976242065,13,1.0,14.692381143569946,13,1.0,0.5887675285339355,13,0.8,13.19740526676178,13,0.8
v200/89,200,3757,0.18879396984924623,27.925100000000015,0.006651439013248058,6,0.013628721237182617,6,1.0,0.11625504493713379,6,1.0,0.3900725841522217,6,0.9,10.21650297641754,6,0.8
v200/90,200,8099,0.4069849246231156,43.589900000000014,0.06732526267702148,9,0.3736591339111328,9,1.0,1.0320968627929688,9,1.0,0.4198176145553589,9,0.9,11.159304594993591,9,0.8
v200/91,200,12271,0.6166331658291457,46.955899999999986,0.23446094106898127,14,30.254889011383057,14,1.0,30.867812156677246,14,1.0,0.6095061063766479,14,0.9,6.3481780052185055,14,1.0
v200/92,200,1511,0.07592964824120603,15.447899999999995,0.0004537840718745241,4,0.0022830963134765625,4,1.0,0.033663034439086914,4,1.0,0.3021453857421875,4,1.0,0.6512206077575684,4,1.0
v200/93,200,177,0.008894472361809045,2.3870999999999998,1.5227653418608193e-06,3,0.00026798248291015625,3,1.0,0.0017559528350830078,3,1.0,0.27401394844055177,3,1.0,0.31512629985809326,3,1.0
v200/94,200,19378,0.9737688442211055,7.0315999999999885,0.9234155626617938,88,600.0,0,0.0,600.0,0,0.0,1.02968590259552,88,1.0,23.152309131622314,88,0.9
v200/95,200,6458,0.32452261306532665,36.19359999999998,0.03383127760012182,7,0.10400772094726562,7,1.0,0.4657759666442871,7,1.0,0.3344278812408447,7,1.0,2.1562036752700804,7,1.0
v200/96,200,9179,0.4612562814070352,55.13589999999996,0.09829298005177402,10,0.9948849678039551,10,1.0,1.981140375137329,10,1.0,0.4984526872634888,10,1.0,8.472786855697631,10,0.9
v200/97,200,9964,0.5007035175879397,68.19039999999997,0.1261847114359677,11,2.210916042327881,11,1.0,3.5080161094665527,11,1.0,0.5045876979827881,11,0.9,4.999308037757873,11,1.0
v200/98,200,6125,0.30778894472361806,42.0575,0.02903304400791838,7,0.0810098648071289,7,1.0,0.3733522891998291,7,1.0,0.3419941425323486,7,1.0,1.7793174028396606,7,1.0
v200/99,200,12740,0.6402010050251257,39.93999999999998,0.26213187147860517,15,57.116191148757935,15,1.0,46.0164909362793,15,1.0,0.6124359607696533,15,0.6,18.534750819206238,15,0.7
v400/0,400,73131,0.9164285714285715,31.695975000000143,0.7696558922431708,59,600.0,0,0.0,600.0,0,0.0,2.3534124851226808,59,0.2,70.66410462856292,59,0.8
v400/1,400,59339,0.7435964912280701,77.166975,0.4111924283069483,24,600.0,0,0.0,600.0,0,0.0,1.4268626689910888,24,0.1,54.77311174869537,24,0.6
v400/2,400,10453,0.13098997493734335,42.349774999999994,0.0022201231722522386,5,0.04485177993774414,5,1.0,0.8734371662139893,5,1.0,0.44979784488677976,5,1.0,3.039985418319702,5,1.0
v400/3,400,14807,0.1855513784461153,62.74877499999998,0.006427815770582234,6,0.12981820106506348,6,1.0,1.6761789321899414,6,1.0,0.5463223934173584,6,1.0,4.199075031280517,6,1.0
v400/4,400,52574,0.6588220551378446,86.96809999999999,0.28594457248649263,18,600.0,0,0.0,600.0,0,0.0,1.0394543886184693,18,0.2,24.1669043302536,18,0.9
v400/5,400,8586,0.10759398496240602,37.94009999999996,0.0012380511580458685,5,0.026955127716064453,5,1.0,0.6113758087158203,5,1.0,0.48540439605712893,5,1.0,2.4447790384292603,5,1.0
v400/6,400,40515,0.5077067669172932,85.73437500000009,0.13071881966222088,13,168.03699922561646,13,1.0,222.70035409927368,13,1.0,0.8573939561843872,13,0.2,58.215212893486026,13,0.4
v400/7,400,15285,0.19154135338345865,55.3693750000001,0.007007594362791401,7,0.13949108123779297,7,1.0,1.7524909973144531,7,1.0,0.5357027292251587,6,0.0,62.76007831096649,7,0.1
